ts,profile,symbol,side,signal_id,signal_ts,strategy_name,valid,entry_valid,add_valid,decision,block_reason,score,rs30,rs60,ema50,ema100,ema25d,ema50d,btc_return_30m,volatility,budget_multiplier,ladder_multiplier,macro_regime,external_valid,external_stale,external_spread_bps,planned_budget,planned_orders,planned_notional,placed_orders,filled_notional,realized_pnl_quote
1779690119,short,HBAR/USDT:USDT,short,short:HBAR/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00205980,0.00018975,0.00069671,0.089102004787,0.088998442755,0.090028967916,0.089935532365,-0.00187278,0.00040006,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,XLM/USDT:USDT,short,short:XLM/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.02842123,-0.00142677,-0.00134638,0.148657272007,0.148462232979,0.153651031797,0.158282385874,-0.00187278,0.00053659,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,SSV/USDT:USDT,short,short:SSV/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01949164,-0.00346667,-0.00195330,2.623482709550,2.619570776079,2.688298977960,2.630464313379,-0.00187278,0.00119850,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,LPT/USDT:USDT,short,short:LPT/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.00533949,0.00187278,0.00148248,2.038000000000,2.038000000000,2.105637222309,2.116730473915,-0.00187278,,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,ENA/USDT:USDT,short,short:ENA/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00678590,-0.00422510,-0.00391754,0.100092386898,0.099881596725,0.107476763408,0.105883342988,-0.00187278,0.00088210,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,UNI/USDT:USDT,short,short:UNI/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00511514,-0.00030222,-0.00089802,3.404365404752,3.398753077905,3.481835576296,3.445535412937,-0.00187278,0.00073646,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,LDO/USDT:USDT,short,short:LDO/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00008737,-0.00477176,-0.00256728,0.346107849597,0.345741298098,0.363750893255,0.361969205530,-0.00187278,0.00071961,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690120,short,ZRO/USDT:USDT,short,short:ZRO/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.09996883,-0.00094423,-0.00270211,1.316352791595,1.314433674864,1.398186050755,1.523440456381,-0.00187278,0.00114160,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690120,short,ORCA/USDT:USDT,short,short:ORCA/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,,,,,,,,,,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690120,short,DYDX/USDT:USDT,short,short:DYDX/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.05570465,-0.00281420,0.00349793,0.149449085208,0.148852553507,0.147220957784,0.139015497586,-0.00187278,0.00102691,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690120,short,COMP/USDT:USDT,short,short:COMP/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00181948,-0.00360123,-0.01091540,20.109314840581,20.114378162196,21.831645937978,21.468260416477,-0.00187278,0.00142232,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690120,short,AXS/USDT:USDT,short,short:AXS/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00867669,-0.00391282,-0.00671111,1.159486248121,1.159739303384,1.228371167907,1.224907332939,-0.00187278,0.00061705,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690120,short,SAND/USDT:USDT,short,short:SAND/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.01663048,-0.00089584,-0.00005035,0.071195920882,0.071081243385,0.073853105775,0.074950844186,-0.00187278,0.00058405,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,SOL/USDT:USDT,short,short:SOL/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00415251,-0.00153027,-0.00157441,85.846978939786,85.756357606145,86.763449367504,86.352956038988,-0.00221205,0.00049981,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,BNB/USDT:USDT,short,short:BNB/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01543969,0.00031427,0.00091952,659.800476956686,659.376626279130,646.430563843720,637.896561284983,-0.00221205,0.00034947,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,AVAX/USDT:USDT,short,short:AVAX/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00441331,-0.00007416,0.00105072,9.277292884230,9.261921926717,9.367868280219,9.326550824355,-0.00221205,0.00053723,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,LINK/USDT:USDT,short,short:LINK/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01483141,-0.00123127,0.00069999,9.500157411584,9.485745784020,9.649916783854,9.502321628512,-0.00221205,0.00073178,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,DOT/USDT:USDT,short,short:DOT/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00292767,-0.00469575,-0.00205793,1.260799187095,1.258633806318,1.273204872674,1.270651809673,-0.00221205,0.00081250,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,BCH/USDT:USDT,short,short:BCH/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.06535292,0.00098248,0.00306963,349.585092356584,348.831297543167,403.742349104350,423.356743538723,-0.00221205,0.00051761,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,ETC/USDT:USDT,short,short:ETC/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01707902,-0.00122246,-0.00074959,8.974223609861,8.959562803739,8.941355856942,8.787865851733,-0.00221205,0.00054364,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,TON/USDT:USDT,short,short:TON/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.07245036,-0.00899809,-0.00345247,1.817865458887,1.811523526846,1.884672810033,1.729606938994,-0.00221205,0.00177254,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690170,short,APT/USDT:USDT,short,short:APT/USDT:USDT:1779690060000:ema_pullback,1779690060000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00941737,-0.00449376,-0.00120560,0.955295379557,0.953003195787,0.975184748107,0.965001955714,-0.00221205,0.00090927,1.00000000,1.00000000,neutral,,,,,0,,0,,
